iter	Passed	Remaining
729	88338	32673
730	88455	32550
731	88576	32429
732	88682	32303
733	88785	32175
734	88889	32048
735	88992	31921
736	89098	31795
737	89218	31673
738	89329	31549
739	89429	31421
740	89531	31293
741	89635	31167
742	89751	31044
743	89878	30926
744	89986	30800
745	90100	30677
746	90209	30552
747	90306	30424
748	90414	30299
749	90522	30174
750	90630	30049
751	90752	29928
752	90880	29810
753	90965	29678
754	91084	29557
755	91184	29429
756	91283	29302
757	91408	29183
758	91535	29064
759	91655	28943
760	91762	28818
761	91870	28694
762	91971	28567
763	92086	28445
764	92202	28323
765	92317	28201
766	92446	28083
767	92587	27969
768	92705	27847
769	92834	27729
770	92972	27614
771	93097	27495
772	93225	27376
773	93360	27260
774	93492	27142
775	93617	27023
776	93758	26908
777	93879	26788
778	94000	26667
779	94124	26548
780	94249	26428
781	94370	26307
782	94516	26194
783	94650	26077
784	94797	25963
785	94947	25850
786	95079	25733
787	95208	25614
788	95322	25491
789	95435	25368
790	95556	25248
791	95672	25126
792	95800	25007
793	95907	24882
794	96010	24757
795	96125	24635
796	96254	24516
797	96367	24393
798	96494	24274
799	96593	24148
800	96704	24025
801	96849	23910
802	96966	23788
803	97086	23667
804	97194	23544
805	97313	23422
806	97423	23299
807	97532	23176
808	97636	23051
809	97745	22928
810	97860	22805
811	97966	22681
812	98080	22559
813	98200	22438
814	98327	22319
815	98445	22198
816	98559	22076
817	98676	21954
818	98799	21834
819	98913	21712
820	99028	21590
821	99133	21466
822	99257	21347
823	99374	21225
824	99496	21105
825	99599	20981
826	99712	20858
827	99821	20735
828	99930	20612
829	100048	20491
830	100175	20372
831	100279	20248
832	100406	20129
833	100537	20011
834	100664	19891
835	100784	19771
836	100895	19648
837	101009	19526
838	101125	19405
839	101239	19283
840	101350	19161
841	101461	19039
842	101588	18919
843	101702	18798
844	101817	18676
845	101933	18555
846	102048	18433
847	102166	18312
848	102279	18191
849	102388	18068
850	102505	17947
851	102616	17825
852	102734	17704
853	102843	17582
854	102953	17460
855	103071	17339
856	103183	17217
857	103285	17093
858	103390	16970
859	103508	16850
860	103621	16728
861	103782	16614
862	104097	16525
863	104261	16411
864	104390	16292
865	104534	16175
866	104675	16057
867	104788	15935
868	104882	15810
869	104999	15689
870	105096	15565
871	105205	15443
872	105317	15321
873	105433	15199
874	105534	15076
875	105654	14955
876	105758	14832
877	105860	14709
878	105980	14588
879	106087	14466
880	106196	14344
881	106302	14221
882	106406	14099
883	106509	13976
884	106604	13852
885	106720	13731
886	106820	13608
887	106928	13486
888	107012	13361
889	107113	13238
890	107215	13116
891	107318	12993
892	107409	12869
893	107507	12747
894	107598	12623
895	107696	12500
896	107801	12378
897	107904	12256
898	108008	12134
899	108123	12013
900	108226	11891
901	108320	11768
902	108433	11647
903	108534	11525
904	108638	11404
905	108734	11281
906	108858	11161
907	108965	11040
908	109072	10919
909	109172	10797
910	109285	10676
911	109401	10556
912	109493	10433
913	109594	10311
914	109707	10191
915	109822	10071
916	109930	9950
917	110028	9828
918	110141	9707
919	110251	9587
920	110360	9466
921	110464	9345
922	110566	9223
923	110659	9101
924	110764	8980
925	110869	8860
926	110973	8739
927	111072	8617
928	111184	8497
929	111277	8375
930	111373	8254
931	111475	8133
932	111582	8012
933	111692	7892
934	111795	7771
935	111905	7651
936	112003	7530
937	112116	7410
938	112236	7291
939	112354	7171
940	112452	7050
941	112584	6931
942	112676	6810
943	112770	6689
944	112876	6569
945	112990	6449
946	113096	6329
947	113220	6210
948	113330	6090
949	113445	5970
950	113536	5849
951	113670	5731
952	113835	5614
953	114047	5499
954	114199	5381
955	114332	5262
956	114450	5142
957	114606	5024
958	114734	4905
959	114854	4785
960	114975	4666
961	115083	4545
962	115198	4426
963	115307	4306
964	115437	4186
965	115546	4066
966	115654	3946
967	115763	3826
968	115880	3707
969	115987	3587
970	116096	3467
971	116205	3347
972	116303	3227
973	116413	3107
974	116519	2987
975	116627	2867
976	116733	2748
977	116832	2628
978	116933	2508
979	117056	2388
980	117159	2269
981	117257	2149
982	117352	2029
983	117444	1909
984	117564	1790
985	117659	1670
986	117754	1550
987	117855	1431
988	117966	1312
989	118070	1192
990	118181	1073
991	118282	953
992	118383	834
993	118492	715
994	118588	595
995	118686	476
996	118787	357
997	118894	238
998	119008	119
999	119106	0
